instance_id,category,budget,model_prediction,ground_truth,annotator_a_label,annotator_a_hall,annotator_b_label,annotator_b_hall,resolved_label,resolution_note
670cb73fbb02136c067d2502,code repository reasoning,8192,B,C,,,,,,
66f24538821e116aacb2865e,multi-document QA,8192,A,D,,,,,,
66ec7ba6821e116aacb1d114,multi-document QA,8192,D,C,,,,,,
6718a43fbb02136c067d3ca8,dialogue history understanding,8192,A,B,,,,,,
6724cae7bb02136c067d79be,structured data understanding,8192,,B,,,,,,
66f3df1e821e116aacb2f7be,code repository reasoning,8192,C,A,,,,,,
6725d8dbbb02136c067d8309,long in-context learning,8192,,C,,,,,,
66f3ad93821e116aacb2e29f,code repository reasoning,8192,,C,,,,,,
66f7f382bb02136c067c3a6c,structured data understanding,8192,,C,,,,,,
66f52d48821e116aacb32cf4,single-document QA,8192,C,A,,,,,,
67192e81bb02136c067d427f,dialogue history understanding,8192,,A,,,,,,
66f94f9ebb02136c067c4fde,multi-document QA,8192,A,D,,,,,,
66ebe68d5a08c7b9b35e190b,single-document QA,8192,A,C,,,,,,
66ed1556821e116aacb1ea14,single-document QA,8192,C,A,,,,,,
66ec56dd821e116aacb1cd0e,code repository reasoning,8192,,C,,,,,,
66fa8ccdbb02136c067c6fa7,structured data understanding,8192,A,B,,,,,,
671b99e5bb02136c067d583d,dialogue history understanding,8192,D,C,,,,,,
671b58e8bb02136c067d5525,dialogue history understanding,8192,A,B,,,,,,
66f3edfb821e116aacb2fc91,long in-context learning,8192,A,C,,,,,,
66f3f1a5821e116aacb2fdc7,long in-context learning,8192,,D,,,,,,
